Organism	Sample Name	short	Run	Experiment	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	sex	SRA Study	Tissue	birth_location	Isolation_source	sub_species	BREED	Cultivar	Ecotype	STRAIN
Neolamprologus similis	KEC1	neosim_KEC1	SRR9673903	SRX6434317	missing	WGS	252	11039111244	PRJNA550295	SAMN12123989	Model organism or animal	3739843441	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KEC1	KEC1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus similis	KEC2	neosim_KEC2	SRR9673904	SRX6434316	missing	WGS	252	9838684044	PRJNA550295	SAMN12123990	Model organism or animal	3454123622	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KEC2	KEC2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'brevis magara' AB-2019	KCI7	neobrM_KCI7	SRR9673862	SRX6434358	missing	WGS	252	9486813672	PRJNA550295	SAMN12123983	Model organism or animal	3425866798	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KCI7	KCI7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'brevis magara' AB-2019	KCI6	neobrM_KCI6	SRR9673897	SRX6434323	missing	WGS	245	18787014764	PRJNA550295	SAMN12123982	Model organism or animal	6750599911	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KCI6	KCI6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'caudopunctatus kipili' AB-2019	LDG2	neocaK_LDG2	SRR9673882	SRX6434338	missing	WGS	252	8854920648	PRJNA550295	SAMN12124055	Model organism or animal	3012836481	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LDG2	LDG2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'caudopunctatus kipili' AB-2019	LDG3	neocaK_LDG3	SRR9673883	SRX6434337	missing	WGS	252	10184419728	PRJNA550295	SAMN12124056	Model organism or animal	3555572637	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LDG3	LDG3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'cygnus' AB-2019	LFD2	neocyg_LFD2	SRR9673929	SRX6434291	missing	WGS	252	10482790500	PRJNA550295	SAMN12124074	Model organism or animal	3619790425	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LFD2	LFD2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'cygnus' AB-2019	LFD4	neocyg_LFD4	SRR9673934	SRX6434286	missing	WGS	252	10092202848	PRJNA550295	SAMN12124075	Model organism or animal	3418174440	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LFD4	LFD4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'eseki' AB-2019	LFB7	neoese_LFB7	SRR9673930	SRX6434290	missing	WGS	252	7464017736	PRJNA550295	SAMN12124071	Model organism or animal	2559057056	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LFB7	LFB7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'eseki' AB-2019	LFB9	neoese_LFB9	SRR9673931	SRX6434289	missing	WGS	252	10095126048	PRJNA550295	SAMN12124072	Model organism or animal	3451080079	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LFB9	LFB9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'falcicula mahale' AB-2019	LCC2	neofaM_LCC2	SRR9673890	SRX6434330	missing	WGS	252	7618697604	PRJNA550295	SAMN12124033	Model organism or animal	2586626273	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LCC2	LCC2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'falcicula mahale' AB-2019	LCB5	neofaM_LCB5	SRR9673893	SRX6434327	missing	WGS	252	7786061136	PRJNA550295	SAMN12124032	Model organism or animal	2681518044	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LCB5	LCB5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'furcifer ulwile' AB-2019	LDF4	neofuU_LDF4	SRR9673880	SRX6434340	missing	WGS	252	9495319932	PRJNA550295	SAMN12124053	Model organism or animal	3237556459	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDF4	LDF4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'furcifer ulwile' AB-2019	LDF5	neofuU_LDF5	SRR9673881	SRX6434339	missing	WGS	252	9560476800	PRJNA550295	SAMN12124054	Model organism or animal	3281418053	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDF5	LDF5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'gracilis tanzania' AB-2019	LCC6	neogrM_LCC6	SRR9673891	SRX6434329	missing	WGS	252	8678966184	PRJNA550295	SAMN12124034	Model organism or animal	2929707677	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LCC6	LCC6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'gracilis tanzania' AB-2019	LCB4	neogrM_LCB4	SRR9673892	SRX6434328	missing	WGS	252	8363074608	PRJNA550295	SAMN12124031	Model organism or animal	2884787825	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LCB4	LCB4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'kombe' AB-2019	ILE6	neokom_ILE6	SRR9657500	SRX6418761	missing	WGS	252	10178759304	PRJNA550295	SAMN12123659	Model organism or animal	3973975083	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILE6	ILE6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'kombe' AB-2019	ILE5	neokom_ILE5	SRR9657505	SRX6418756	missing	WGS	252	7099191036	PRJNA550295	SAMN12123658	Model organism or animal	2938137041	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILE5	ILE5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'ventralis stripe' AB-2019	JED5	neoveS_JED5	SRR9673982	SRX6434482	missing	WGS	245	19019621284	PRJNA550295	SAMN12123851	Model organism or animal	6707193810	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JED5	JED5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus sp. 'ventralis stripe' AB-2019	JED4	neoveS_JED4	SRR9674035	SRX6434428	missing	WGS	252	10274721156	PRJNA550295	SAMN12123850	Model organism or animal	4146949413	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JED4	JED4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus splendens	A188	neospl_A188	SRR9657514	SRX6418747	missing	WGS	252	11995396812	PRJNA550295	SAMN12123583	Model organism or animal	4373478546	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	A188	A188	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus splendens	LJD3	neospl_LJD3	SRR9673940	SRX6434280	missing	WGS	252	12188720628	PRJNA550295	SAMN12124120	Model organism or animal	4176422145	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LJD3	LJD3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus tetracanthus	IPG3	neotet_IPG3	SRR9665665	SRX6426568	missing	WGS	252	13222459404	PRJNA550295	SAMN12123701	Model organism or animal	5211203988	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IPG3	IPG3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus tetracanthus	IPF7	neotet_IPF7	SRR9665699	SRX6426534	missing	WGS	252	8552370960	PRJNA550295	SAMN12123700	Model organism or animal	3401104310	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IPF7	IPF7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus timidus	LGE3	neotim_LGE3	SRR9673836	SRX6434384	missing	WGS	252	7851791304	PRJNA550295	SAMN12124088	Model organism or animal	2739007532	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LGE3	LGE3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus timidus	LGE2	neotim_LGE2	SRR9673837	SRX6434383	missing	WGS	252	9568511568	PRJNA550295	SAMN12124087	Model organism or animal	3438537446	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LGE2	LGE2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus toae	JZD6	neotoa_JZD6	SRR9675374	SRX6435709	missing	WGS	252	11450146176	PRJNA550295	SAMN12123957	Model organism or animal	4064963567	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JZD6	JZD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus toae	JZD5	neotoa_JZD5	SRR9675375	SRX6435708	missing	WGS	252	10479894768	PRJNA550295	SAMN12123956	Model organism or animal	3720069434	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JZD5	JZD5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus tretocephalus	KFH5	neotre_KFH5	SRR9673848	SRX6434372	missing	WGS	252	9820103832	PRJNA550295	SAMN12124006	Model organism or animal	3407726472	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KFH5	KFH5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus tretocephalus	KFH4	neotre_KFH4	SRR9673849	SRX6434371	missing	WGS	252	9775259928	PRJNA550295	SAMN12124005	Model organism or animal	3358847272	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KFH4	KFH4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus variostigma	JWA6	neovar_JWA6	SRR9675307	SRX6435776	missing	WGS	245	21873375620	PRJNA550295	SAMN12123882	Model organism or animal	7875856759	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWA6	JWA6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus variostigma	JWA5	neovar_JWA5	SRR9675308	SRX6435775	missing	WGS	245	19528597971	PRJNA550295	SAMN12123881	Model organism or animal	7154655905	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWA5	JWA5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus ventralis	KAG8	neoveB_KAG8	SRR9675361	SRX6435722	missing	WGS	245	21472790717	PRJNA550295	SAMN12123976	Model organism or animal	7700698681	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KAG8	KAG8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus ventralis	KAG7	neoveB_KAG7	SRR9675362	SRX6435721	missing	WGS	245	19876338752	PRJNA550295	SAMN12123975	Model organism or animal	7105825422	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KAG7	KAG7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus walteri	KFD4	neowal_KFD4	SRR9673845	SRX6434375	missing	WGS	252	9033792768	PRJNA550295	SAMN12124001	Model organism or animal	3129475614	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KFD4	KFD4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Neolamprologus walteri	KFD2	neowal_KFD2	SRR9673925	SRX6434295	missing	WGS	252	9229329648	PRJNA550295	SAMN12124000	Model organism or animal	3190695174	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KFD2	KFD2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia boops	LFI6	ophboo_LFI6	SRR9673894	SRX6434326	missing	WGS	252	9737217000	PRJNA550295	SAMN12124082	Model organism or animal	3364537286	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LFI6	LFI6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia boops	LFI4	ophboo_LFI4	SRR9673895	SRX6434325	missing	WGS	252	10179229788	PRJNA550295	SAMN12124081	Model organism or animal	3578258284	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LFI4	LFI4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia heterodonta	Bel06	ophhet_Bel06	SRR9657547	SRX6418714	missing	WGS	252	8865187128	PRJNA550295	SAMN12123620	Model organism or animal	2997561099	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	Bel06	Bel06	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia heterodonta	Bel12	ophhet_Bel12	SRR9657549	SRX6418712	missing	WGS	252	9817830792	PRJNA550295	SAMN12123623	Model organism or animal	3368922843	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	Bel12	Bel12	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia nasuta	AXH8	ophnas_AXH8	SRR9657542	SRX6418719	missing	WGS	252	11093711832	PRJNA550295	SAMN12123615	Model organism or animal	3816406151	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	AXH8	AXH8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia nasuta	AXH6	ophnas_AXH6	SRR9657543	SRX6418718	missing	WGS	252	10650062556	PRJNA550295	SAMN12123614	Model organism or animal	3697711082	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	AXH6	AXH6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia sp. 'paranasuta' AB-2019	JYG5	ophpar_JYG5	SRR9675389	SRX6435694	missing	WGS	252	10494868356	PRJNA550295	SAMN12123949	Model organism or animal	3784360371	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JYG5	JYG5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia sp. 'paranasuta' AB-2019	JYF7	ophpar_JYF7	SRR9675394	SRX6435689	missing	WGS	252	13101892272	PRJNA550295	SAMN12123948	Model organism or animal	4771418777	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JYF7	JYF7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia sp. 'white cap' AB-2019	LGH1	ophwhi_LGH1	SRR9673870	SRX6434350	missing	WGS	252	10920999852	PRJNA550295	SAMN12124091	Model organism or animal	3697580594	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LGH1	LGH1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia sp. 'white cap' AB-2019	LGH3	ophwhi_LGH3	SRR9673871	SRX6434349	missing	WGS	252	9996277788	PRJNA550295	SAMN12124092	Model organism or animal	3455070957	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LGH3	LGH3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia ventralis	IQD3	ophven_IQD3	SRR9665660	SRX6426573	missing	WGS	252	10069150644	PRJNA550295	SAMN12123710	Model organism or animal	4034929655	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IQD3	IQD3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ophthalmotilapia ventralis	IQE4	ophven_IQE4	SRR9665674	SRX6426559	missing	WGS	252	9218616120	PRJNA550295	SAMN12123711	Model organism or animal	3570418461	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IQE4	IQE4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis brieni	JXI4	pcybrN_JXI4	SRR9675391	SRX6435692	missing	WGS	252	7768620972	PRJNA550295	SAMN12123945	Model organism or animal	2668521687	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JXI4	JXI4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis brieni	JXI2	pcybrN_JXI2	SRR9675398	SRX6435685	missing	WGS	252	9204371820	PRJNA550295	SAMN12123944	Model organism or animal	3218606293	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JXI2	JXI2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis nigripinnis	GPC4	pcynig_GPC4	SRR9657533	SRX6418728	missing	WGS	245	17802649122	PRJNA550295	SAMN12123636	Model organism or animal	6494567788	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	GPC4	GPC4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis nigripinnis	GPC6	pcynig_GPC6	SRR9657536	SRX6418725	missing	WGS	252	8334443628	PRJNA550295	SAMN12123637	Model organism or animal	2764818776	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	GPC6	GPC6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis sp. 'brieni south' AB-2019	IQC1	pcybri_IQC1	SRR9665666	SRX6426567	missing	WGS	252	7741304676	PRJNA550295	SAMN12123708	Model organism or animal	2661270337	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IQC1	IQC1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis sp. 'brieni south' AB-2019	IQB9	pcybri_IQB9	SRR9665667	SRX6426566	missing	WGS	252	10876305888	PRJNA550295	SAMN12123707	Model organism or animal	4394442108	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IQB9	IQB9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis sp. 'tembwe' AB-2019	JWD2	pcytem_JWD2	SRR9675300	SRX6435783	missing	WGS	245	22319893268	PRJNA550295	SAMN12123889	Model organism or animal	8177786786	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWD2	JWD2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Paracyprichromis sp. 'tembwe' AB-2019	JWD1	pcytem_JWD1	SRR9675301	SRX6435782	missing	WGS	245	22833336279	PRJNA550295	SAMN12123888	Model organism or animal	8344322297	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWD1	JWD1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Perissodus eccentricus	IXA4	perecc_IXA4	SRR9665700	SRX6426533	missing	WGS	252	10181446128	PRJNA550295	SAMN12123779	Model organism or animal	3563231193	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IXA4	IXA4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
